PatientNumber,Hospital,DateOfBirth,Gender,Nationality,LastName,FirstName,Title,NationalID,FileDateCreation,Rejet,Avertissement
37,Hopital 1,1941-01-28 00:00:00,F,France,Nom27,Prenom27,,1015093485,,duplication,
1527,Hopital 1,1987-10-24 00:00:00,M,France,Nom99,Prenom99,,1048427866,,duplication,
4555,Hopital 1,1966-07-31 00:00:00,F,France,Nom111,Prenom111,MARRIED,1011551211,,duplication,
4563,Hopital 1,1991-01-20 00:00:00,M,France,Nom155,Prenom155,,1073084830,,duplication,
4677,Hopital 1,1977-08-22 00:00:00,M,France,Nom156,Prenom156,,1042010205,,duplication,
4883,Hopital 1,1948-11-04 00:00:00,M,France,Nom157,Prenom157,,1024573980,,duplication,
4919,Hopital 1,1991-11-20 00:00:00,M,France,Nom158,Prenom158,,1074459817,,duplication,
4922,Hopital 1,1989-12-14 00:00:00,F,France,Nom159,Prenom159,,1075745909,,duplication,
5008,Hopital 1,1985-12-05 00:00:00,F,France,Nom160,Prenom160,,1013991037,,duplication,
5031,Hopital 1,1988-09-10 00:00:00,F,France,Nom161,Prenom161,,1059954857,,duplication,
6214,Hopital 1,1982-01-09 00:00:00,F,France,Nom163,Prenom163,,1034237576,,duplication,
6703,Hopital 1,1955-08-19 00:00:00,M,France,Nom167,Prenom167,,1032602177,,duplication,
53,Hopital 1,03-11-1393,F,France,Nom2,Prenom2,,1056399247,,V-DateOfBirth-1,
670,Hopital 1,24-1-1400,F,France,Nom20,Prenom20,,1024050427,,V-DateOfBirth-1,
948,Hopital 1,29-12-1392,F,France,Nom31,Prenom31,,1,,V-DateOfBirth-1,
2742,Hopital 1,13-08-1404,F,France,Nom74,Prenom74,,2742,,V-DateOfBirth-1,
8215,Hopital 1,18-04-1416,M,France,Nom200,Prenom200,,1024,,V-DateOfBirth-1,
